"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_PN";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"3";"";"M04PTH";"1X04";"JP1, JP2, JP3";"Header 4";"";"";"";"";"";"";"";"";
"1";".1uF";"CAP1206";"1206";"C12";"Capacitor";"";"";"";"";"";"";"";"";
"1";"100";"RESISTOR1206";"1206";"R15";"Resistor";"";"";"";"";"";"";"";"";
"1";"100k";"RESISTOR1206";"1206";"R8";"Resistor";"";"";"";"";"";"";"";"";
"1";"10nF";"CAP1206";"1206";"C9";"Capacitor";"";"";"";"";"";"";"";"";
"2";"120 Ohm";"RESISTOR1206";"1206";"R10, R11";"Resistor";"";"";"";"";"";"";"";"";
"2";"1N4148";"DIODESOD123";"SOD-123";"D2, D3";"Diode";"";"";"";"";"";"";"";"";
"4";"1k";"RESISTOR1206";"1206";"R1, R12, R13, R14";"Resistor";"";"";"";"";"";"";"";"";
"1";"220nF";"CAP1206";"1206";"C4";"Capacitor";"";"";"";"";"";"";"";"";
"1";"330uF";"CAP_POLE";"PANASONIC_E";"C1";"Capacitor Polarized";"";"";"";"";"";"";"";"";
"1";"5.6nF";"CAP1206";"1206";"C2";"Capacitor";"";"";"";"";"";"";"";"";
"4";"DYNAMIXEL-1X03";"DYNAMIXEL-1X03";"DYNAMIXEL-1X03";"JP9, JP10, JP11, JP12";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED-GREENLARGE";"LED-1206";"LED3";"Various green LEDs";"";"";"";"";"";"DIO-00862";"";"GREEN";
"2";"H_WR-TBL_321*0002VERT";"H_WR-TBL_321*0002VERT";"691321100002";"U$6, U$7";"Wurth Electronic's 2-pin 10A pluggable screw terminal headers. Vertical and Horizantal";"732-2763-ND";"";"";"";"";"";"";"";
"1";"L6206D";"L6206D";"SO24";"IC3";"DUAL DMOS FULL BRIDGE MOTOR DRIVER";"";"";"";"";"";"";"";"";
"1";"MAX3077";"MAX3077";"MAX3070E";"U$4";"";"";"";"";"";"";"";"";"";
"3";"RED";"LED1206";"LED-1206";"D1, LED1, LED2";"LEDs";"";"";"";"";"";"";"";"";
"1";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"U$3";"RJ45 Jack";"";"";"";"";"";"CONN-08506";"";"RJ45";
"4";"SMAJ5920";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"D4, D5, D6, D7";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"DIO-08053";"";"MBRA140";
"1";"SN74LS241DW";"SN74LS241DW";"SOIC127P1030X265-20N";"U1";"OCTAL BUFFERS AND LINE DRIVERS WITH 3-STATE OUTPUTS";"";"SN74LS241DW";"1739687";"50R6539 ";"SOIC-20";"";"Texas Instruments";"";
"4";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"S1, S2, S3, S4";"A standoff intended to be an electrically connected point.";"";"";"";"";"";"";"";"";
"1";"STELLARIS-LAUNCHPADSTELLARIS-LAUNCHPAD-XL";"STELLARIS-LAUNCHPADSTELLARIS-LAUNCHPAD-XL";"LAUNCHPAD-XL";"P1";"";"";"";"";"";"";"";"";"";
"1";"TORXIS_BREAKOUT";"TORXIS_BREAKOUT";"TORXIS_BREAKOUT";"U$1";"";"";"";"";"";"";"";"";"";
"1";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"U2";"";"";"";"";"";"";"";"";"";
